"publisher","recipient_code","count"
"af","KH",3
"af","CO",3
"af","DJ",4
"af","EG",3
"af","JM",4
"af","LB",3
"af","MR",3
"af","PG",3
"af","GE",4
"af","TZ",3
"af","CK",3
"af","UY",4
"af","WS",3
"af","MG",3
"af","MU",3
"af","MN",4
"af","MV",4
"af","TM",4
"af","EC",3
"af","ER",3
"af","SB",4
"af","NI",4
"af","PK",4
"af","SN",6
"af","HN",6
"af","LK",3
"af","AR",5
"af","GT",4
"af","RW",3
"afd","AF",8
"afd","BF",27
"afd","BI",6
"afd","BJ",20
"afd","BO",1
"afd","BR",6
"afd","CD",14
"afd","CF",19
"afd","CG",21
"afd","CI",17
"afd","CM",30
"afd","CN",7
"afd","CO",5
"afd","CV",3
"afd","DJ",5
"afd","DO",4
"afd","DZ",2
"afd","EC",3
"afd","EG",13
"afd","ET",10
"afd","GA",12
"afd","GH",12
"afd","GN",16
"afd","HT",14
"afd","ID",3
"afd","IN",6
"afd","JO",12
"afd","KE",13
"afd","KH",24
"afd","KM",17
"afd","LA",7
"afd","LB",4
"afd","LK",2
"afd","MA",28
"afd","MG",54
"afd","ML",44
"afd","MR",17
"afd","MU",6
"afd","MX",4
"afd","MZ",14
"afd","NE",24
"afd","NG",9
"afd","PE",1
"afd","PH",2
"afd","PK",5
"afd","PS",23
"afd","RW",2
"afd","SC",1
"afd","SD",2
"afd","SL",1
"afd","SN",37
"afd","SR",2
"afd","ST",1
"afd","SY",1
"afd","TD",23
"afd","TG",13
"afd","TN",32
"afd","TR",3
"afd","TZ",3
"afd","UG",4
"afd","VN",20
"afd","ZA",1
"afd","ZM",3
"afd","ZW",1
"afdb","DZ",84
"afdb","AO",174
"afdb","BJ",319
"afdb","BW",113
"afdb","BF",341
"afdb","BI",238
"afdb","CM",344
"afdb","CV",145
"afdb","CF",136
"afdb","TD",318
"afdb","CI",134
"afdb","KM",104
"afdb","CG",122
"afdb","DJ",141
"afdb","CD",394
"afdb","EG",304
"afdb","GQ",100
"afdb","ER",51
"afdb","ET",358
"afdb","ZRCD",59
"afdb","GA",113
"afdb","GM",171
"afdb","GH",550
"afdb","GN",249
"afdb","GW",150
"afdb","KE",545
"afdb","LS",147
"afdb","LR",225
"afdb","LY",19
"afdb","MG",310
"afdb","MW",436
"afdb","ML",404
"afdb","MR",218
"afdb","MU",86
"afdb","MA",501
"afdb","MZ",449
"afdb","998",3180
"afdb","NE",310
"afdb","NG",271
"afdb","RW",351
"afdb","ST",135
"afdb","SN",390
"afdb","SC",71
"afdb","SL",270
"afdb","SO",64
"afdb","ZA",63
"afdb","SS",26
"afdb","SD",89
"afdb","SZ",108
"afdb","TZ",446
"afdb","TG",172
"afdb","TN",451
"afdb","UG",473
"afdb","ZM",229
"afdb","ZW",115
"aics","ET",503
"asdb","AF",548
"asdb","AM",318
"asdb","AZ",356
"asdb","BD",2107
"asdb","BT",442
"asdb","CK",76
"asdb","CN",2762
"asdb","FJ",102
"asdb","FM",64
"asdb","GE",549
"asdb","ID",600
"asdb","IN",3166
"asdb","KG",823
"asdb","KH",1336
"asdb","KI",89
"asdb","KZ",214
"asdb","LA",1260
"asdb","LK",1584
"asdb","MH",58
"asdb","MM",184
"asdb","MN",817
"asdb","MV",99
"asdb","NP",1501
"asdb","NR",40
"asdb","PG",809
"asdb","PH",399
"asdb","PK",1576
"asdb","PW",118
"asdb","798",42
"asdb","SB",233
"asdb","TH",35
"asdb","TJ",537
"asdb","TL",374
"asdb","TM",31
"asdb","TO",159
"asdb","TV",43
"asdb","UZ",933
"asdb","VN",2373
"asdb","VU",85
"asdb","WS",231
"ausgov","289",112
"ausgov","298",186
"ausgov","380",88
"ausgov","489",58
"ausgov","589",59
"ausgov","689",215
"ausgov","789",190
"ausgov","798",415
"ausgov","088",4
"ausgov","889",1039
"ausgov","089",12
"ausgov","998",3385
"ausgov","AF",611
"ausgov","AG",41
"ausgov","AL",16
"ausgov","AM",9
"ausgov","AO",39
"ausgov","AR",86
"ausgov","AZ",13
"ausgov","BA",31
"ausgov","BB",5
"ausgov","BD",947
"ausgov","BF",58
"ausgov","BI",150
"ausgov","BJ",26
"ausgov","BO",107
"ausgov","BR",145
"ausgov","BT",313
"ausgov","BW",255
"ausgov","BZ",113
"ausgov","CD",147
"ausgov","CF",36
"ausgov","CG",22
"ausgov","CI",38
"ausgov","CK",196
"ausgov","CL",152
"ausgov","KH",2468
"ausgov","CN",597
"ausgov","CO",74
"ausgov","CR",38
"ausgov","CU",11
"ausgov","CV",61
"ausgov","DJ",22
"ausgov","DM",77
"ausgov","DO",29
"ausgov","DZ",21
"ausgov","EC",84
"ausgov","EG",82
"ausgov","ER",23
"ausgov","ET",567
"ausgov","FJ",1658
"ausgov","FM",373
"ausgov","GA",16
"ausgov","GD",65
"ausgov","GE",4
"ausgov","GH",440
"ausgov","GM",43
"ausgov","GN",40
"ausgov","GQ",19
"ausgov","GT",39
"ausgov","GW",20
"ausgov","GY",86
"ausgov","HN",80
"ausgov","HT",136
"ausgov","ID",2358
"ausgov","IN",599
"ausgov","IQ",204
"ausgov","IR",64
"ausgov","JM",118
"ausgov","JO",258
"ausgov","KE",786
"ausgov","KG",11
"ausgov","KI",1097
"ausgov","KM",44
"ausgov","KN",29
"ausgov","KP",11
"ausgov","KZ",1
"ausgov","LA",1151
"ausgov","LB",365
"ausgov","LC",71
"ausgov","LK",570
"ausgov","LR",115
"ausgov","LS",341
"ausgov","LY",22
"ausgov","MA",25
"ausgov","MD",9
"ausgov","ME",11
"ausgov","MG",82
"ausgov","MH",412
"ausgov","MK",15
"ausgov","ML",68
"ausgov","MM",999
"ausgov","MN",556
"ausgov","MR",18
"ausgov","MU",78
"ausgov","MV",192
"ausgov","MW",458
"ausgov","MX",76
"ausgov","MY",161
"ausgov","MZ",334
"ausgov","NE",91
"ausgov","NG",289
"ausgov","NI",60
"ausgov","NP",748
"ausgov","NR",528
"ausgov","NU",193
"ausgov","PA",24
"ausgov","PE",279
"ausgov","PG",2118
"ausgov","PH",1432
"ausgov","PK",735
"ausgov","PS",333
"ausgov","PW",425
"ausgov","PY",126
"ausgov","RS",48
"ausgov","RW",195
"ausgov","SB",1603
"ausgov","SC",96
"ausgov","SD",197
"ausgov","SL",95
"ausgov","SN",147
"ausgov","SO",126
"ausgov","SR",73
"ausgov","ST",69
"ausgov","SV",47
"ausgov","SY",47
"ausgov","SZ",234
"ausgov","TD",23
"ausgov","TG",56
"ausgov","TH",995
"ausgov","TJ",12
"ausgov","TK",61
"ausgov","TL",1199
"ausgov","TN",35
"ausgov","TO",1011
"ausgov","TR",76
"ausgov","TT",21
"ausgov","TV",494
"ausgov","TZ",533
"ausgov","UA",46
"ausgov","UG",415
"ausgov","UY",41
"ausgov","UZ",1
"ausgov","VC",89
"ausgov","VE",24
"ausgov","VN",1504
"ausgov","VU",1341
"ausgov","WF",51
"ausgov","WS",1066
"ausgov","YE",66
"ausgov","ZA",684
"ausgov","ZM",400
"ausgov","ZW",403
"be-dgd","998",4242
"be-dgd","BI",655
"be-dgd","CD",1954
"be-dgd","BF",305
"be-dgd","SN",346
"be-dgd","ZA",419
"be-dgd","KH",162
"be-dgd","MA",367
"be-dgd","IN",163
"be-dgd","ID",64
"be-dgd","BR",77
"be-dgd","CO",102
"be-dgd","HT",194
"be-dgd","NE",281
"be-dgd","289",140
"be-dgd","RW",515
"be-dgd","CU",372
"be-dgd","PE",438
"be-dgd","MW",92
"be-dgd","BJ",425
"be-dgd","KE",334
"be-dgd","PS",293
"be-dgd","CI",81
"be-dgd","BO",408
"be-dgd","TZ",437
"be-dgd","GT",90
"be-dgd","MG",105
"be-dgd","NI",91
"be-dgd","PH",206
"be-dgd","VN",827
"be-dgd","CM",181
"be-dgd","UG",478
"be-dgd","MZ",286
"be-dgd","DZ",181
"be-dgd","TG",96
"be-dgd","ML",338
"be-dgd","ET",294
"be-dgd","EC",440
"be-dgd","SS",42
"be-dgd","498",8
"be-dgd","HN",65
"be-dgd","DO",35
"be-dgd","389",8
"be-dgd","AF",49
"be-dgd","SY",51
"be-dgd","MN",14
"be-dgd","NG",33
"be-dgd","ZM",44
"be-dgd","CN",77
"be-dgd","SL",19
"be-dgd","CG",18
"be-dgd","AO",7
