"year","recipient_code","to_di_id","flow_code","category","finance_type","aid_type","usd_disbursement","short_description","purpose_code","sector_code","channel_code","long_description","ftc","pba","budget_or_transaction","budget_type","iati_identifier","donor_code","from_di_id"
2015,269,"SN",10,,110,"C01",784.02,"Volunteer Safety and Security",998,99810,,"All costs directly associated with Volunteer and staff safety (preparedness and training), and the physical security of Peace Corps-leased properties.  Includes costs of guard services, security staff, security-related travel, supplies, equipment, physical property upgrades, and the Office of Safety and Security.","False","False","Transaction",,"US-GOV-10-SN-afadcbe0",302,"US"
2013,769,"VN",10,,110,"E01",,"TC AGGREGATED ACTIVITIES",160,16062,,"TC AGGREGATED ACTIVITIES","False","False","Transaction",,"XM-DAC-701-8-2013957020",701,"JP"
2017,660,"NP",10,,411,"C01",116105.95,"ELECTRICITY TRANSMISSION EXPANSION & SUPPLY IMPROVEMENT PROJECT",230,23040,,"The project will improve the reliability of energy supply in Nepal and strengthen the transmission infrastructure needed to promote Nepal's capacity for cross-border energy trade. It will provide support in three critical areas in the electricity supply industry, which has experienced severe underinvestment: (i) electricity transmission capacity expansion, (ii) strengthening of distribution systems including those along the Tamakoshi (Khimti)-Kathmandu transmission line, and (iii) rehabilitation of selected small hydropower plants.","False","False","Transaction",,"46004-41155-013-LN2808",915,"asdb"
2019,85,"UA",,,,"C01",3562500,"Second Urban Infrastructure Proj (UIP2)",430,43030,,"The objective of the Second Urban Infrastructure Project is to improve the quality and efficiency of water, wastewater, and solid waste services in selected cities in Ukraine. There are three components to the project, the first component being Urban Infrastructure Improvement. This component will finance the rehabilitation, reconstruction and upgrading of water, wastewater, and solid waste facilities in about ten cities. It is designed to increase the efficiency of participating utilities, reduce their costs, enhance the reliability of services, and improve the quality of water supply and wastewater services. The second component is the institutional strengthening and capacity building. This component will support a range of institutional strengthening activities to be implemented at the utility and central levels. An additional US$ 7 million grant from Swedish International Development Agency, or SIDA will co-finance activities under this component. Finally, the third component is the project management and supervision. This component will support project management and implementation at the central and regional levels in the targeted cities. Support will include: training, staffing, and monitoring and evaluation. It will also cover feasibility studies for potential subprojects as well as the annual project financial and technical audits of district vodokanals.","False","False","Budget",2,"44000-P132386",905,"ida"
2011,298,"298",10,,,"D02",80560.0434437,"PROGRAMA PROPIO: Fondo de ayuda para Proyectos de Fin de carrera en materia de cooperación para el Desarrollo 2011",430,43081,,"Proyecto de cofinanciación del Programa de Becas (30) para la realización del PFC en países clasificados como prioritarios en el Plan General de Cooperación de España de escaso desarrollo humano","False","False","Transaction",,"ES-DIR3-E04585801-009-043629",50,"ES"
2014,282,"TZ",10,,110,"C01",5185.90207262,"Health Sector Programme Support, Tanzania, Phase IV",122,12220,,,"False","False","Transaction",,"DK-1-167255-22607",3,"DK"
2015,998,"998",10,,110,"C01",77764.45,"Volunteer Pre-Service Training",998,99810,,"All costs incurred for Pre-Service Training, including pre-service training in the U.S., pre-departure staging costs, and pre-service training overseas.","False","False","Transaction",,"US-GOV-10-998-51b95aef",302,"US"
2015,375,"TT",10,,110,"C01",2524.68935509,"Strengthening Distance Education in the Caribbean",332,33210,,"This project aims to increase employment and other income-generation opportunities by improving access to post-secondary education for women and men living in remote and under- served communities of the Caribbean. The project seeks to strengthen the Open Campus of the University of the West Indies (UWI) to make high-quality education available to more people across the Caribbean through the use of distance education technologies. This is key in a region where countries are separated by the sea, making it difficult for many people to access the three ""traditional"" campuses of UWI (in Trinidad, Jamaica, and Barbados). The virtual Open Campus seeks to deliver expanded program offerings that are better aligned with labour market needs, and undertake stronger marketing outreach to students.  Some project activities include: (i) designing, developing and delivering demand-driven, gender and environmentally sensitive post-secondary distance education programs to students across the Caribbean; (ii) training faculty, instructors and tutors in gender and environmentally sensitive course design, development and delivery; (iii) conducting a comprehensive analysis of program requirements to better respond to labour market needs., and (iv) setting up new library virtual services (online) that can be accessed by all Open Campus learning sites throughout the Caribbean.","False","False","Transaction",,"CA-3-A034764001",301,"CA"
2013,285,"UG",10,,110,"C01",69503.7202802,"Skills Training and Non-Formal Education for Poverty Reduction in Karamoja",113,11330,,"Functional Adult Literacy (FAL) and Livelihood Skills Training (LST) programmes are used by marginalised groups for the sake of improving their livelihoods and income-generation;","False","False","Transaction",,"XI-IATI-EC_DEVCO-2009/208-623",918,"EU"
2010,85,"UA",,,,"C01",231396.8175,"RURAL LAND TITLING & CADASTRE",311,31120,,"The Rural Land Titling and Cadastre Development Project for Ukraine will establish a national cadastre and title registry system, allocate land parcels to individuals in rural areas on an equitable basis, establish their property rights by issuing state deeds for land, and encourage the restructuring of farms into more efficient units. There are seven components to the project. 1) This component would provide the State Committee for Land Resources (SCLR) with resources to begin reorganizing and changing its function from Soviet-style land use planning to land use regulation better suited to a market economy. 2) Provide information to all potential recipients of State Deeds for Land is essential to the success of all systematic titling programs. 3) Short term training - restructuring large numbers of farms and issuing as many as 4 million State Deeds for Land in a period of six years is an enormous task requiring highly specialized skills. Long term training - the SCLR has proposed that funds be provided to equip the four agrarian universities in Odesa, Lviv, Kharkiv and Kyiv. 4) This component will focus on the systematic subdivision of the land of former collective farms and the issuing of State Deeds for Land free-of-charge to individual rural land owners. 5) This component will support the development of a national cadastre system which will be managed by the Cadastre Center . 6) The farm restructuring component of the project wull provide advisory services to new or potential land owners. 7) This component will fund a Project Implementation Unit (PIU) in Kyiv. There would also be up to three regional representatives in each o f the 24 Oblast offices and the Autonomous Republic of Crimea hired under the project to coordinate and promote project activities.","False","False","Budget",2,"44000-P035777",905,"ida"
